序号,标题,关键词,搜索量,KD,CPC,意图,内容类型,优先级,对应页面/产品,Brief状态
59,New Moon Wishes: Best Crystals to Set Intentions,new moon crystals,待补,待补,待补,Informational,月相文章,P1,/blog/new-moon-crystals,待写
60,Valentine's Day: Crystals to Attract Love in 2026,valentine crystals,待补,待补,待补,Commercial,博客,P1,/blog/valentine-crystals,待写
61,Best Crystals for a Fresh Start in the New Year,new year crystals 2026,待补,待补,待补,Informational,博客,P1,/blog/new-year-crystals-2026,待写
62,Halloween Crystal Rituals for Protection and Power,halloween crystals,待补,待补,待补,Informational,博客,P1,/blog/halloween-crystals,待写
63,Solar Eclipse Spiritual Meaning and Crystals to Use,solar eclipse crystals,待补,待补,待补,Informational,博客,P1,/blog/solar-eclipse-crystals,待写
64,Spring Equinox: Crystals for Renewal and Growth,spring equinox crystals,待补,待补,待补,Informational,博客,P1,/blog/spring-equinox-crystals,待写
65,111 Angel Number Meaning + Best Crystals for New Beginnings,111 angel number meaning,待补,待补,待补,Informational,博客,P1,/blog/111-angel-number-meaning,待写
66,222 Angel Number: Balance Crystals and Harmony,222 angel number meaning,待补,待补,待补,Informational,博客,P1,/blog/222-angel-number-meaning,待写
67,333 Angel Number: Creativity and Growth Crystals,333 angel number meaning,待补,待补,待补,Informational,博客,P1,/blog/333-angel-number-meaning,待写
68,444 Angel Number Meaning + Protection Crystals,444 angel number meaning,待补,待补,待补,Informational,博客,P1,/blog/444-angel-number-meaning,待写
69,555 Angel Number: Change and Transformation Crystals,555 angel number meaning,待补,待补,待补,Informational,博客,P1,/blog/555-angel-number-meaning,待写
70,666 Angel Number: Balance and Reflection Crystals,666 angel number meaning,待补,待补,待补,Informational,博客,P1,/blog/666-angel-number-meaning,待写
71,777 Angel Number: Spiritual Growth and Luck Crystals,777 angel number meaning,待补,待补,待补,Informational,博客,P1,/blog/777-angel-number-meaning,待写
72,888 Angel Number: Abundance and Wealth Crystals,888 angel number meaning,待补,待补,待补,Informational,博客,P1,/blog/888-angel-number-meaning,待写
73,999 Angel Number: Completion and New Cycle Crystals,999 angel number meaning,待补,待补,待补,Informational,博客,P1,/blog/999-angel-number-meaning,待写
74,Angel Numbers Guide: What Each Number Means and Your Crystals,angel numbers guide,待补,待补,待补,Informational,博客,P1,/blog/angel-numbers-complete-guide,待写
75,My Journey with Amethyst,amethyst journey story,待补,待补,待补,Informational,博客,P1.5,/blog/my-journey-with-amethyst,待写
76,How Crystals Helped My Anxiety,crystals helped anxiety story,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-helped-anxiety,待写
77,From Skeptic to Believer,skeptic to believer crystal story,待补,待补,待补,Informational,博客,P1.5,/blog/skeptic-to-believer,待写
78,Crystals for New Moms,crystals for new moms,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-new-moms,待写
79,My Crystal Collection Journey,crystal collection journey,待补,待补,待补,Informational,博客,P1.5,/blog/crystal-collection-journey,待写
80,How Rose Quartz Changed My Love Life,rose quartz love story,待补,待补,待补,Informational,博客,P1.5,/blog/rose-quartz-love-story,待写
81,Crystals for Entrepreneurs,crystals for entrepreneurs,待补,待补,待补,Commercial,博客,P1.5,/blog/crystals-for-entrepreneurs,待写
82,My Bedtime Crystal Ritual,bedtime crystal ritual,待补,待补,待补,Informational,博客,P1.5,/blog/bedtime-crystal-ritual,待写
83,Gift That Changed Everything,crystal gift story,待补,待补,待补,Informational,博客,P1.5,/blog/crystal-gift-story,待写
84,Crystal Community Stories,crystal community stories,待补,待补,待补,Informational,博客,P1.5,/blog/crystal-community-stories,待写
85,Feng Shui and Crystals: Ancient Wisdom,feng shui crystals,待补,待补,待补,Informational,博客,P1.5,/blog/feng-shui-crystals,待写
86,Chinese Crystal Healing Traditions,chinese crystal healing,待补,待补,待补,Informational,博客,P1.5,/blog/chinese-crystal-healing,待写
87,Crystals in Buddhism: Sacred Stones,crystals buddhism,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-buddhism,待写
88,East Meets West: Crystal Philosophy,east meets west crystals,待补,待补,待补,Informational,博客,P1.5,/blog/east-meets-west-crystals,待写
89,Moon Phases and Crystal Energy,moon phases crystal energy,待补,待补,待补,Informational,博客,P1.5,/blog/moon-phases-crystal-energy,待写
90,Best Crystals for INFP: The Idealist's Stone Guide,crystals for INFP,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-infp,待写
91,Best Crystals for INFJ: The Advocate's Healing Stones,crystals for INFJ,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-infj,待写
92,Best Crystals for ENFP: The Campaigner's Energy Stones,crystals for ENFP,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-enfp,待写
93,Best Crystals for ENFJ: The Protagonist's Power Crystals,crystals for ENFJ,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-enfj,待写
94,Best Crystals for INTP: The Logician's Focus Stones,crystals for INTP,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-intp,待写
95,Best Crystals for INTJ: The Architect's Strategic Crystals,crystals for INTJ,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-intj,待写
96,Best Crystals for ENTP: The Debater's Creative Stones,crystals for ENTP,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-entp,待写
97,Best Crystals for ENTJ: The Commander's Success Crystals,crystals for ENTJ,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-entj,待写
98,Best Crystals for ISFJ: The Defender's Nurturing Stones,crystals for ISFJ,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-isfj,待写
99,Best Crystals for ISFP: The Adventurer's Spiritual Crystals,crystals for ISFP,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-isfp,待写
100,Best Crystals for ESFJ: The Consul's Harmony Stones,crystals for ESFJ,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-esfj,待写
101,Best Crystals for ESFP: The Entertainer's Joy Crystals,crystals for ESFP,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-esfp,待写
102,Best Crystals for ISTJ: The Logistician's Grounding Stones,crystals for ISTJ,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-istj,待写
103,Best Crystals for ISTP: The Virtuoso's Action Crystals,crystals for ISTP,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-istp,待写
104,Best Crystals for ESTJ: The Executive's Leadership Stones,crystals for ESTJ,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-estj,待写
105,Best Crystals for ESTP: The Entrepreneur's Bold Crystals,crystals for ESTP,待补,待补,待补,Informational,博客,P1.5,/blog/crystals-for-estp,待写
106,Best Crystal Bracelets for Anxiety 2024,best crystal bracelets for anxiety,待补,待补,待补,Commercial,博客,P2,/blog/best-crystal-bracelets-anxiety,待写
107,Best Crystal Bracelets for Beginners,best crystal bracelets for beginners,待补,待补,待补,Commercial,博客,P2,/blog/best-crystal-bracelets-beginners,待写
108,Crystal Bracelet vs Necklace: Which to Choose,crystal bracelet vs necklace,待补,待补,待补,Commercial,博客,P2,/blog/crystal-bracelet-vs-necklace,待写
109,How to Choose Crystal Bracelet Size,crystal bracelet sizing guide,待补,待补,待补,Informational,博客,P2,/blog/crystal-bracelet-sizing-guide,待写
110,Best Crystal Gifts for Each Zodiac Sign,crystal gifts zodiac,待补,待补,待补,Commercial,博客,P2,/blog/crystal-gifts-zodiac,待写
111,Best Crystals for Women,best crystals for women,待补,待补,待补,Commercial,博客,P2,/blog/best-crystals-for-women,待写
112,Best Crystals for Men,best crystals for men,待补,待补,待补,Commercial,博客,P2,/blog/best-crystals-for-men,待写
113,Crystal Bracelet Stacking Guide,how to stack crystal bracelets,待补,待补,待补,Informational,博客,P2,/blog/how-to-stack-crystal-bracelets,待写
114,Best Crystal Sets for Beginners,crystal sets for beginners,待补,待补,待补,Commercial,博客,P2,/blog/crystal-sets-for-beginners,待写
115,Chakra Bracelet Buying Guide,chakra bracelet guide,待补,待补,待补,Commercial,博客,P2,/blog/chakra-bracelet-guide,待写
116,Best Crystal Bracelets 2026: Top 10 Reviewed,best crystal bracelets 2026,待补,待补,待补,Commercial,博客,P1,/blog/best-crystal-bracelets-2026,待写
117,Natural vs Treated Crystals: What Buyers Should Know,natural vs treated crystals,待补,待补,待补,Commercial,博客,P1,/blog/natural-vs-treated-crystals,待写
118,Is Crystal Healing Worth It? What Science Says,is crystal healing worth it,待补,待补,待补,Informational,博客,P1,/blog/is-crystal-healing-worth-it,待写
119,Best Crystal Apps 2026: Complete Guide,best crystal apps,待补,待补,待补,Commercial,博客,P1,/blog/best-crystal-apps,待写
120,Online Crystal Store vs Marketplace: How to Choose Safely,buy crystals online safely,待补,待补,待补,Commercial,博客,P1,/blog/online-crystal-store-vs-marketplace,待写
121,Best Online Crystal Shops 2026,best online crystal shops,待补,待补,待补,Commercial,博客,P1,/blog/best-online-crystal-shops,待写
122,Birthstone Finder (Interactive Tool),birthstone,110000,待补,待补,Informational,工具页,P1,/tools/birthstone-finder,待写
123,Chakra Balance Test (Interactive Tool),chakra test,27100,待补,待补,Informational,工具页,P1,/tools/chakra-test,待写
124,Crystal Compatibility Check (Interactive Tool),crystal compatibility,6600,待补,待补,Informational,工具页,P2,/tools/crystal-compatibility-check,待写
125,Dream Decoder + Crystal (Interactive Tool),dream interpretation,60500,待补,待补,Informational,工具页,P3,/tools/dream-decoder-crystal,待写
126,Crystal Selector Wizard (Interactive Tool),how to choose crystals,18100,待补,待补,Informational,工具页,P1,/tools/crystal-selector-wizard,待写
127,January 2026 Full Moon in Cancer: Crystal Ritual Guide,full moon january 2026 crystals,待补,待补,待补,Informational,月相文章,P1,/blog/january-2026-full-moon-cancer-crystals,待写
128,January 2026 New Moon: New Year Intentions Crystal Guide,new moon january 2026 crystals,待补,待补,待补,Informational,月相文章,P1,/blog/january-2026-new-moon-crystals,待写
129,February 2026 Full Moon in Leo: Crystal Ritual Guide,full moon february 2026 leo crystals,待补,待补,待补,Informational,月相文章,P1,/blog/february-2026-full-moon-leo-crystals,待写
130,February 2026 New Moon: Love Intentions Crystal Guide,new moon february 2026 love crystals,待补,待补,待补,Informational,月相文章,P1,/blog/february-2026-new-moon-love-crystals,待写
131,March 2026 Full Moon in Virgo: Crystal Ritual Guide,full moon march 2026 virgo crystals,待补,待补,待补,Informational,月相文章,P1,/blog/march-2026-full-moon-virgo-crystals,待写
132,March 2026 New Moon: Spring Renewal Crystal Guide,new moon march 2026 spring crystals,待补,待补,待补,Informational,月相文章,P1,/blog/march-2026-new-moon-spring-crystals,待写
133,April 2026 Full Moon in Libra: Crystal Ritual Guide,full moon april 2026 libra crystals,待补,待补,待补,Informational,月相文章,P1,/blog/april-2026-full-moon-libra-crystals,待写
134,April 2026 New Moon: Growth & Transformation Crystal Guide,new moon april 2026 crystals,待补,待补,待补,Informational,月相文章,P1,/blog/april-2026-new-moon-growth-crystals,待写
135,May 2026 Full Moon in Scorpio: Crystal Ritual Guide,full moon may 2026 scorpio crystals,待补,待补,待补,Informational,月相文章,P1,/blog/may-2026-full-moon-scorpio-crystals,待写
136,May 2026 New Moon: Manifestation Crystal Guide,new moon may 2026 manifestation crystals,待补,待补,待补,Informational,月相文章,P1,/blog/may-2026-new-moon-manifestation-crystals,待写
137,June 2026 Full Moon in Sagittarius: Crystal Ritual Guide,full moon june 2026 sagittarius crystals,待补,待补,待补,Informational,月相文章,P1,/blog/june-2026-full-moon-sagittarius-crystals,待写
138,June 2026 New Moon: Summer Energy Crystal Guide,new moon june 2026 summer crystals,待补,待补,待补,Informational,月相文章,P1,/blog/june-2026-new-moon-summer-crystals,待写
139,Carnelian Necklace - Collection Page,carnelian necklace,8100,29,0.73,Commercial,类目页,P0,/collections/carnelian-necklaces,待写
140,Prayer Beads - Collection Page,prayer beads,8100,34,0.46,Commercial,类目页,P0,/collections/prayer-beads,待写
141,Crystal Towers - Collection Page,crystal towers,6600,27,0.59,Navigational,类目页,P0,/collections/crystal-towers,待写
142,Amazonite Crystal - Collection Page,amazonite crystal,5400,47,0.38,Informational,类目页,P0,/collections/amazonite,待写
143,Birthstone Necklaces - Collection Page,birthstone necklaces,5400,60,3.01,Commercial,类目页,P0,/collections/birthstone-necklaces,待写
144,Amethyst Crystals - Collection Page,amethyst crystals,4400,63,0.58,Informational,类目页,P0,/collections/amethyst-crystals,待写
145,Copper Bracelets - Collection Page,copper bracelets,4400,26,0.59,Commercial,类目页,P0,/collections/copper-bracelets,待写
146,Copper Jewelry - Collection Page,copper jewelry,4400,43,0.72,Commercial,类目页,P0,/collections/copper-jewelry,待写
147,Selenite Crystals - Collection Page,selenite crystals,4400,60,0.18,Informational,类目页,P0,/collections/selenite-crystals,待写
148,Citrine Crystals - Collection Page,citrine crystals,2900,40,0.74,Commercial,类目页,P0,/collections/citrine-crystals,待写
149,Worry Stones - Collection Page,worry stones,2900,46,0.47,Commercial,类目页,P0,/collections/worry-stones,待写
150,Sage Smudging Guide,sage smudging,2400,70,0.20,Informational,博客,P0,/blog/sage-smudging-guide,待写
151,Tumbled Stones - Collection Page,tumbled stones,1900,37,0.53,Informational,类目页,P0,/collections/tumbled-stones,待写
152,Crystal Hearts - Collection Page,crystal hearts,1600,39,0.66,Commercial,类目页,P0,/collections/crystal-hearts,待写
153,Jade Crystals - Collection Page,jade crystals,1600,53,0.81,Informational,类目页,P0,/collections/jade-crystals,待写
154,Crystal Spheres - Collection Page,crystal spheres,1300,14,0.50,Commercial,类目页,P0,/collections/crystal-spheres,待写
155,Rose Quartz Crystals - Collection Page,rose quartz crystals,1300,59,0.66,Informational,类目页,P0,/collections/rose-quartz,待写
156,Spiritual Necklaces - Collection Page,spiritual necklaces,1300,19,1.26,Informational,类目页,P0,/collections/spiritual-necklaces,待写
157,Crystal Pyramids - Collection Page,crystal pyramids,720,2,0.47,Commercial,类目页,P0,/collections/crystal-pyramids,待写
158,Angelite Crystals - Collection Page,angelite crystals,390,25,0.24,Commercial,类目页,P0,/collections/angelite,待写
